355;На пересечении улиц Джангильдина и Загородного шоссе при повороте на лево из- за дорожного знака не видно встречного потока,этот участок до этого был проблемным,а теперь ещё и знак мешает.Просим установить на этом перекрестке светофор или убрать этот знак.;61:Несоблюдение маршрута:42;8:Неисправный светофор:37;84:Содержание помещений МФЦ:36;
356;"При въезде в жилую зону от проспекта Победы (вблизи дома 160) знак «жилая зона» закрыт деревьями. Для лучшего информирования водителей и повышения безопасности движения нужно установить знаки с двух сторон проезжей части.Кроме того, сам знак установлен прямо перед пересечением проезжих частей, что создаёт неоднозначность правил проезда перекрёстка, и потенциально провоцирует ДТП. Перенос знака в сторону проспекта Победы на 10-15 м позволит этого избежать.";61:Несоблюдение маршрута:42;28:Скопление мусора в парках, скверах:21;2:Противоречия при установке дорожных знаков разметки светофора, неправильно установленные дорожные знаки разметка светофор:9;
359;"После ремонта дороги по улице Сахалинской, на повороте в частный сектор по переулку Дальнему была нанесена новая разметка, а именно двойная сплошная линия. Из-за чего теперь невозможен поворот на переулок при движении ""из центра"". Всегда здесь была прерывистая линия.";61:Несоблюдение маршрута:50;8:Неисправный светофор:16;30:Вытоптанный, заезженный газон:15;
360;"Как видно на фото, дорожный знак ""Пешеходный переход"" дублируется только на одной стороне проезжей части по улице Пролетарская.";4:Неисправное уличное освещение:60;30:Вытоптанный, заезженный газон:50;59:Неудовлетворительное санитарное состояние транспортного средства:42;
361;Незаконный знак въезд запрещён;67:Незаконный сбор денег в образовательных организациях:70;12:Ямы, выбоины, выступы на дороге, тротуаре:50;13:Ямы, выбоины, выступы на придомовой территории:50;
362;"Остановка МЖК. Кажется, не только на пролетарской не правильно ночью нарисовали переход. На 3 фото видно, что строители на момент обустройства дороги предусмотрели организацию пешеходного перехода на остановке - сделали съезды для колясок и маломобильных граждан. К этому планируемому переходу ведут нормальные широкие тротуары.Но, нет, переход рисуют на старом месте. К нему нет подходов- ведёт узкая тех.полоса- если два человека встречаются, то либо в грязь, либо на проезжую часть выходить…Коляска не проходит габаритами…  Спуска нет- бордюры. Если б старая дорога, то понятно. Но ведь ее только сделали. Неужели не договорились строители с ГАИ?";8:Неисправный светофор:15;63:Некорректное поведение водителя кондуктора:9;69:Ненадлежащая организация работы спортивной организации:8;
365;Могу отправить видео, здесь его, к сожалению, прикрепить невозможно;41:Снеговые кучи на обочинах дорог, тротуаре:50;15:Открытый (просевший) люк или ливневка на дороге:44;28:Скопление мусора в парках, скверах:44;
373;"Не оборудована остановка автобусов, которая по факту находится напротив дома Аксакова, 5 (на картах напротив Аксакова, 3). Люди выходят прямо на газон, либо автобусы останавливаются до остановки на выезде из Оренбургэнерго. Когда пойдут дожди, это станет большой проблемой, потому что придется выходить в грязь.Из-за отсутствия оборудованной остановки, несмотря на наличие специальной желтой разметки, карман не воспринимается водителями, как место для общественного транспорта. Поэтому в будний день его используют для парковки.Просьба оборудовать остановку и положить плитку или асфальт.";8:Неисправный светофор:11;37:Некачественный уход за деревьями, кустарниками на придомовой территории (кронирование, вырубка сухостоев, ликвидация аварийных деревьев) во дворах:9;57:Проблемы при организации направления одаренного ребенка в организации отдыха детей и их оздоровления, расположенные на Черноморском побережье:9;
377;"Здравствуйте.После ремонта дороги по улице Харьковской у Лицея №1 не уложен лежачий полицейский, что не соответствует установленным знакам, а также отсутствует необходимая разметка. Водители не соблюдают скоростной режим, а также установленные знаки. Скоро начнется учебный год и наши дети будут в опасности. Прошу Вас помочь в решении данной проблемы.";8:Неисправный светофор:37;6:Неисправное освещение в парках:33;4:Неисправное уличное освещение:30;
385;При нанесении разметки на перекрёстке пр. Гагарина и ул. Мира не было сделано разрыва в двойной сплошной линии для поворота налево на ул. Донковцева и разворота. Теперь поворот налево и разворот придится выполнять на перекрёстке пр. Гагарина и ул. Мира. Но поскольку светофор настроен таким образом, что зелёный свет в сторону 24 мкр. р-на горит на 10 секунд дольше, чем в сторону города, то поворот налево или разваорот приходится выполнять уже на красный сигнал светофора с нарушением ПДД. Прежняя разметка - с разрывом в двойной сплошной, позволяла поворочивать на ул. Донковцева и разворачиваться не доезжая до перекрёстка, а значит не учитывать сигналы светофора и не нарушать ПДД.;83:Некомпетентность специалиста МФЦ:11;49:Неубранный снег, наледь на остановке:9;53:Проблемы при получении социальной помощи на устранение аварийных ситуаций и ремонт инженерных сетей жилого помещения:9;
386;На протяжении всей улицы Высотная нет ни одного пешеходного перехода со знаком и разметкой на дорожном покрытии. И вообще в 19 мкр. отсутствуют знаки о начале дворой зоны, ограничения скорости, пешеходных переходов и острожно пешеход, хотя район густо заселен и много детей на улице.;61:Несоблюдение маршрута:40;83:Некомпетентность специалиста МФЦ:33;6:Неисправное освещение в парках:16;
387;Нет знаков приоритета на перекрестке;14:Подтопление проезжей части:40;51:Проблемы при получении социальной помощи по вопросам пострадавшего имущества в результате чрезвычайной ситуации:40;65:Нарушения при проведении экзаменов:40;
388;"На одном из самых оживлённых перекрёстков города на пересечении улиц Новая и Пролетарская возле ТРК ""Гулливер"" отсутствуют обозначенные дорожными знаками и разметкой пешеходные переходы. Огромный поток людей переходят здесь дорогу. В целях безопасности дорожного движения и для устранения данного несоответствия необходимо оборудовать данный перекрёсток пешеходными переходами согласно требованиям ПДД РФ.";48:Снег, сосульки на крыше остановочного павильона:40;4:Неисправное уличное освещение:22;61:Несоблюдение маршрута:16;
389;"Добрый день!;67:Незаконный сбор денег в образовательных организациях:60;11:Наличие опасно выступающих элементов над покрытиями (дорожными, тротуарными и т.д.), таких как арматура, бетонные блоки и т.п.:50;19:Реклама на тротуаре вдоль дорог:50;
390;Скорректируйте, пожалуйста, светофоры на перекрестке пр.Дзержинского/ул.Театральная в соответствии с тем, что 20 сек выделили на переход пешеходов одновременно во всех направлениях, а режим работы зеленого сигнала оставили прежним - пробки на этом перекрестке не только в часы пик, но и по выходным. Или верните прежний режим работы...";29:Грязь, мусор на остановке:50;12:Ямы, выбоины, выступы на дороге, тротуаре:33;75:Незаконные объявления, надписи, изображения на павильоне:33;
393;Отсутствуют съезды с тротуара для маломобильных групп населения, через дорогу выезда и въезда к АЗС Лукойл.;17:Реклама на тротуаре:87;65:Нарушения при проведении экзаменов:44;24:Мусор, свалки у обочин дорог, на тротуаре, газоне:40;
394;Паркуются на тротуаре по постоянно!;12:Ямы, выбоины, выступы на дороге, тротуаре:87;17:Реклама на тротуаре:87;18:Реклама на тротуаре во дворах:87;
395;"Отсутствие занижение бортового камня через дорогу выезда и въезда к АЗС Лукойл.На предыдущее обращение мне был дан ответ от Швидко А.В.: ""В связи с тем, что автомобильные заправочные станции являются опасными производственными объектами, в целях обеспечения безопасности дорожного движения проводить занижение бортового камня по ул. Терешковой в районе д. № 271/1  не целесообразно."" Уважаемый  Швидко А.В, в законодательстве и нормах нет выдуманных вами трудностей которые препятствуют выполнению работ по занижению бортового камня на пересечении дороги и пешеходной дорожки, а вот согласно ГОСТ Р 52131, СП 59.13330 съезды должны быть. Уважайте себя и жителей города.";82:Невежливое обслуживание в МФЦ:11;55:Проблемы при получении компенсации расходов за самостоятельно приобретенную путевку в организацию отдыха и оздоровления детей:9;35:Некачественный уход за деревьями, кустарниками вдоль дорог, тротуаров (кронирование, вырубка сухостоев, ликвидация аварийных деревьев):7;
399;Водителям в темноте время суток совершенно не видно пешеходов на пешеходном переходе в связи с полным отсутствием освещения как на самом пешеходном переходе, так и вдоль проезжей части по всему пр. Автоматики.;69:Ненадлежащая организация работы спортивной организации:40;4:Неисправное уличное освещение:31;30:Вытоптанный, заезженный газон:20;
400;На протяжении двух лет не работает фонарь на улице Фрунзе в районе домовладений 58-62. Ввиду отсутствия тротуара и какого-либо покрытия на дороге (ужасные выбоины и постоянная грязь) передвижение по этому участку просто невозможно. Отремонтируйте хотя бы 1 фонарь напротив дома 60!;61:Несоблюдение маршрута:41;76:Некачественное содержание детской площадки:40;81:Длительное время обслуживания в МФЦ:37;
401;"Здравствуйте, на улице Промышленной города Оренбурга полностью отсутствует уличное освещение, что усложняет движение автотранспорта.Пешеходные переходы не освещены, создается опасность для пешеходов в вечернее время.";6:Неисправное освещение в парках:68;19:Реклама на тротуаре вдоль дорог:50;32:Нескошенная трава вдоль тротуаров и обочин дорог:50;
404;отсутствует освещение, на участке проезжей части по родимцева от победы до салмышской..письмо написано 17.08.2021...22:16;30:Вытоптанный, заезженный газон:50;68:Ненадлежащее состояние спортивной площадки:42;62:Двойная транзакция при оплате картой:40;
405;Разбитый фонарь;3:Стертая дорожная разметка:50;69:Ненадлежащая организация работы спортивной организации:50;80:Ненадлежащее состояние малых архитектурных форм (качели, карусели и пр.):50;
406;Отсутствует освещение пешеходного перехода перед школой 13 в г. Орске со стороны ул. Короленко, 161.;5:Неисправное освещение во дворах:77;16:Открытый (просевший) люк или ливневка во дворе:50;42:Неубранный снег, гололед во дворе:44;
407;Огромное количество мусора разбросанного в сквере, возле Пролетарская 271. Также очень много мусора в подземном переходе.;29:Грязь, мусор на остановке:69;30:Вытоптанный, заезженный газон:42;12:Ямы, выбоины, выступы на дороге, тротуаре:33;
408;Улица Транспортная, между ул. Фронтовиков и автосалоном Шкода. Новые тротуары в грязи, после зимы ничего не убралось, вдоль бордюров грязь.;24:Мусор, свалки у обочин дорог, на тротуаре, газоне:50;28:Скопление мусора в парках, скверах:42;48:Снег, сосульки на крыше остановочного павильона:42;
409;Подземный переход в ужасном состоянии;59:Неудовлетворительное санитарное состояние транспортного средства:77;80:Ненадлежащее состояние малых архитектурных форм (качели, карусели и пр.):77;34:Ямы, выбоины, выступы на пешеходной дорожке, тротуаре:75;
410;Ужасное состояние пешеходного перехода. Грязь, мусор, зловония, разбитые бутылки. Ужасное состояние, стены обшарпаны и разваливаются. Прошу восстановите пожалуйста подземный пешеходный переход.;12:Ямы, выбоины, выступы на дороге, тротуаре:42;17:Реклама на тротуаре:42;19:Реклама на тротуаре вдоль дорог:42;
411;Сильные повреждения ступеней;10:Повреждения остановочного павильона:81;74:Отсутствие повреждение урны на остановке:81;63:Некорректное поведение водителя кондуктора:63;
412;Здравствуйте. В нашем доме, со стороны ул. Комсомольской, располагается 4 магазина: Ринг, ФиксПрайс, Красное и белое, Мультисвет. Площадка со входами в магазины отделена от стоянки автотранспорта живой изгородью. Так вот в этих кустах за весь весенне-летний период 2021 г. собралось очень много мусора. Вдоль дома и на стоянке также собирается мусор, который ни кто не убирает. Дворника на этой территории нет. Большой участок утопает в мусоре.;82:Невежливое обслуживание в МФЦ:33;84:Содержание помещений МФЦ:16;81:Длительное время обслуживания в МФЦ:13;
413;мешки с мусором не убраны наверное ещё с апрельских субботников под деревьями возле автодороги по ул.Дружбы со стороны дома номер 9;24:Мусор, свалки у обочин дорог, на тротуаре, газоне:50;13:Ямы, выбоины, выступы на придомовой территории:37;34:Ямы, выбоины, выступы на пешеходной дорожке, тротуаре:37;
414;Мусор;5:Неисправное освещение во дворах:40;16:Открытый (просевший) люк или ливневка во дворе:40;18:Реклама на тротуаре во дворах:40;
415;Не убран мусор после срубки деревьев;12:Ямы, выбоины, выступы на дороге, тротуаре:50;13:Ямы, выбоины, выступы на придомовой территории:50;15:Открытый (просевший) люк или ливневка на дороге:50;
416;Мусор с мая месяца никто не убирал с со стороны улицы Пацаева;9:Повреждение дорожного ограждения:42;23:Грязь, мусор, разрушение стен и покрытия в подземных и надземных пешеходных переходах:42;10:Повреждения остановочного павильона:40;
417;Сломанная засохшая ветка дерева уже давно лежит на тротуаре, мешает пешеходам. Просьба убрать. Адрес - напротив дома по Терешковой 27 возле дороги.;61:Несоблюдение маршрута:42;10:Повреждения остановочного павильона:37;48:Снег, сосульки на крыше остановочного павильона:37;
418;В районе 160 дома тротуар заканчивается и начинается грязь. Необходим тротуар до пешеходного перехода;43:Снег, сосульки на крыше дома:75;5:Неисправное освещение во дворах:50;16:Открытый (просевший) люк или ливневка во дворе:50;
419;Ливневка забита мусорлм;15:Открытый (просевший) люк или ливневка на дороге:87;16:Открытый (просевший) люк или ливневка во дворе:87;79:Очистка ливневок колодцев:75;
420;"снт &quot;Оазис&quot;, Ленинский с/с свалка мусора между 24 и 25 линиями.";28:Скопление мусора в парках, скверах:83;27:Несвоевременная уборка территории контейнерной площадки:50;60:Отказ водителей принимать банковские карты в качестве оплаты за проезд:42;
421;Уборка прилегающей территории магистральных трубопроводов подачи тепла. Прошу содействия в уборке пао т плюс прилегающей к трубопроводам территории и вывозу мусора.;77:Повреждение контейнерной площадки контейнеров:42;30:Вытоптанный, заезженный газон:40;46:Некачественное содержание катков:40;
422;После ремонта проезжей части по улице Станционной 19 мусор оставили на придомовой территории.;70:Содержание территории детских садов:80;25:Мусор на придомовой территории:64;31:Нескошенная трава на придомовой территории:64;
423;Пешеходный тротуар и обочина захламлены старыми деревьями и мусором , обвисшие деревья .;34:Ямы, выбоины, выступы на пешеходной дорожке, тротуаре:80;47:Неубранный снег, наледь на пешеходных дорожках, тротуаре:80;26:Нарушение графика вывоза мусора с контейнерной площадки:71;
424;в июне убрали контейнеры по адресу г. Гай ул. Пушкина д. 28 а мусор который вырвались из контейнера не убрали.;66:Питание в образовательных организациях или организация питания в учебных заведениях:50;4:Неисправное уличное освещение:40;30:Вытоптанный, заезженный газон:40;
425;Прошу обратить внимание на состояние площадки под мусорные контейнеры по адресу г Оренбург пересечение улиц 34 линия и 71 линия.;59:Неудовлетворительное санитарное состояние транспортного средства:77;28:Скопление мусора в парках, скверах:62;4:Неисправное уличное освещение:60;
426;не убран мусор после покоса травы вдоль пешеходной дорожки возле молочного киоска с торца дома 5 по ул Родимцева;73:Несанкционированное размещение граффити на мемориальных объектах:50;65:Нарушения при проведении экзаменов:37;26:Нарушение графика вывоза мусора с контейнерной площадки:33;
427;Свалка крупного строительного мусора.;24:Мусор, свалки у обочин дорог, на тротуаре, газоне:83;25:Мусор на придомовой территории:83;26:Нарушение графика вывоза мусора с контейнерной площадки:83;
428;Здравствуйте...территорию вдоль забора и тротуаров никто не убирает...если это красная зона прошу принять меры по уборке;70:Содержание территории детских садов:80;63:Некорректное поведение водителя кондуктора:44;82:Невежливое обслуживание в МФЦ:37;
429;"Старая вывеска ""Магнит"" выкинута на газон";31:Нескошенная трава на придомовой территории:50;32:Нескошенная трава вдоль тротуаров и обочин дорог:50;30:Вытоптанный, заезженный газон:42;
430;На фото все хорошо видно: развалившиеся ограждения для баков, мусор валяется, где попало.;59:Неудовлетворительное санитарное состояние транспортного средства:42;30:Вытоптанный, заезженный газон:40;69:Ненадлежащая организация работы спортивной организации:40;
431;Улица Правды на обеих сторонах от 8 Марта до Советской покрыта смесью песка и цемента после прошлогоднего ремонта. Свалены большие кучи песочно-цементной смеси. Ходить пешком невозможно, все это летит в глаза и нос.;61:Несоблюдение маршрута:42;30:Вытоптанный, заезженный газон:40;79:Очистка ливневок колодцев:33;
432;Мусор остаётся не тронутом на протяжении нескольких дней;12:Ямы, выбоины, выступы на дороге, тротуаре:50;17:Реклама на тротуаре:50;19:Реклама на тротуаре вдоль дорог:50;
433;автодромная,автодром в ужасном состоянии весь загаженный, не приятно смотреть..все в мусоре;59:Неудовлетворительное санитарное состояние транспортного средства:77;30:Вытоптанный, заезженный газон:50;54:Проблемы при получении сертификата на отдых и (или) оздоровление детей:42;
434;Не убран мусор в ливневке;79:Очистка ливневок колодцев:75;12:Ямы, выбоины, выступы на дороге, тротуаре:50;13:Ямы, выбоины, выступы на придомовой территории:50;
435;За мусорными баками по ул.Тамбовская,всегда мусор,на прохожей части,где ходят дети битые стекла,спиленные огромные деревья.А это единственный проход для жителей ,т.к. тротуар по ул.Львовская вдоль стоматологической поликлиники очень опасный,не разделен с дорогой разделительными сооружениями.;6:Неисправное освещение в парках:37;30:Вытоптанный, заезженный газон:14;68:Ненадлежащее состояние спортивной площадки:14;
436;"Прошу убрать сухие ветки на ""зеленой"" зоне вдоль тротуара между улицей Саракташской и переулком Дальним (частный сектор!!!)";4:Неисправное уличное освещение:50;45:Нарушение норм применения противогололедных материалов в парках, скверах:50;63:Некорректное поведение водителя кондуктора:44;
437;Деревья обрезали давно, а ветки так и не убрали;6:Неисправное освещение в парках:50;23:Грязь, мусор, разрушение стен и покрытия в подземных и надземных пешеходных переходах:42;8:Неисправный светофор:37;
438;По дороге Оренбург Шарлык есть популярные места остановок автомобилей, Родник Булановский и Колычево...которые завалены мусором...Необходимо убрать свалку и оборудовать цивилизованным мусорными площадками...;76:Некачественное содержание детской площадки:70;3:Стертая дорожная разметка:66;30:Вытоптанный, заезженный газон:50;
439;Возле Коростелевых 61 весной водоканал построил новый колодец, а территорию вокруг не облагородил. Обращение к ним результатов не дали...Просим исправить ситуацию;79:Очистка ливневок колодцев:85;61:Несоблюдение маршрута:40;46:Некачественное содержание катков:33;
440;Зеленхоз обрезал деревья по ул. Братской и ул.Королёва в марте сего года.Ветки до сих пор не вывезены. Тротуары после зимы грязные.;17:Реклама на тротуаре:87;35:Некачественный уход за деревьями, кустарниками вдоль дорог, тротуаров (кронирование, вырубка сухостоев, ликвидация аварийных деревьев):57;48:Снег, сосульки на крыше остановочного павильона:42;
441;Устроили свалку строительного мусора за домом пр-т Победы 157/6;24:Мусор, свалки у обочин дорог, на тротуаре, газоне:83;28:Скопление мусора в парках, скверах:83;29:Грязь, мусор на остановке:83;
442;"Здравствуйте. Переулок Синчука ( что ведет к санаторию-профилакторию ""Южный Урал"") сильно загрязнен. Причем его территорию, дорогу не убирают с весны этого года. Вдоль дороги на стыках с тротуарами спрессованный мусор и песок, возле дома 8 пер.Синчука проводили ремонт труб- не потрудившись разровнять землю и уложить обратно бордюры. Мусорная площадка стала свалкой-крупногабаритный мусор скидывают у ее заграждений. По всей территории переулка- сломанные ветки, мелкие и крупные, на деревьях- низко висят надломленные ветки, пострадавшие от урагана.Очень просим навести порядок!";84:Содержание помещений МФЦ:37;83:Некомпетентность специалиста МФЦ:11;33:Нескошенная трава вдоль пешеходных дорожек с твердым покрытием в парках:9;
445;После уборки дороги пыль и весь мусор собранный с улице Деповская не убирается, а просто оставляется на обочине, прям на пешеходном переходе. Делается это уже не в первый раз, когда проходит дождь пользоваться пешеходным переходом невозможно так пыль и мусор превращается в грязь.;30:Вытоптанный, заезженный газон:40;8:Неисправный светофор:33;83:Некомпетентность специалиста МФЦ:33;
446;Мусор на проезжей части.;39:Неубранный снег, гололёд на проезжей части, тротуаре:75;14:Подтопление проезжей части:60;30:Вытоптанный, заезженный газон:50;
447;Ужасное состояние прилегающей территории кафе Райхон (г. Оренбург, ул. Уральская, д. 2/7а). Мусор от сотрудников (уборщиц) и посетителей данного кафе. Ни о какой социальной ответственности бизнеса нет и речи. Ни разу за этот год не убирали прилегающую территорию.;76:Некачественное содержание детской площадки:40;83:Некомпетентность специалиста МФЦ:40;33:Нескошенная трава вдоль пешеходных дорожек с твердым покрытием в парках:37;
448;Проблема в уборке ул Медногорская . С начала весеннего периода ни разу не убиралась . Тротуар завален мусором, много сухих веток и т.д. Просим навести порядок на данном участке. Уборку производить постоянно.;8:Неисправный светофор:50;82:Невежливое обслуживание в МФЦ:50;84:Содержание помещений МФЦ:33;
449;Вот так. Дней 5 не вывозили мусор.;1:Нечитаемые поврежденные дорожные знаки:50;46:Некачественное содержание катков:50;27:Несвоевременная уборка территории контейнерной площадки:40;
450;Здравствуйте. Возле расселенного дома куча мусора.;26:Нарушение графика вывоза мусора с контейнерной площадки:83;29:Грязь, мусор на остановке:83;41:Снеговые кучи на обочинах дорог, тротуаре:75;
451;Добрый день. Пишет житель СНТ Карачи с просьбой помочь в прекращении захламлять дорогу. Свалка стоит уже 2,5 месяца. Недавно закончились работы по ремонту дороги на улице Амурская, по итогу весь старый бетон и бордюры оказались на свалке. Мусор привозят даже грузовые машины с ближайших магазинов. Мы хотим чистую дорогу, по которой может проехать на велосипеде ребёнок. Мы знаем в вашей компетенции решить эту проблему, не оставайтесь в стороне. Мы жители СНТ Карачи готовы помочь. В решении этой проблемы нужны координально меры, можно посадить деревья и даже построить детскую площадку. Закрытие дороги со 2-ой Линии СНТ Карачи ничего не решит. Спасибо за внимание.;61:Несоблюдение маршрута:42;16:Открытый (просевший) люк или ливневка во дворе:9;55:Проблемы при получении компенсации расходов за самостоятельно приобретенную путевку в организацию отдыха и оздоровления детей:9;
452;Не своевременная уборка проезжей части и газона между ней, что за собой последовало загрязнение окружающей среды мусорными отходами в большом количестве.;62:Двойная транзакция при оплате картой:40;70:Содержание территории детских садов:40;4:Неисправное уличное освещение:38;
453;Добрый день.на газоне мусор,разного рода,лежит годами.;22:Неисправное освещение на дорогах:50;33:Нескошенная трава вдоль пешеходных дорожек с твердым покрытием в парках:50;12:Ямы, выбоины, выступы на дороге, тротуаре:42;
454;вдоль дружбы были с рублены ветки и вся улица засыпанна,а кто убирать будет или это так сойдёт;27:Несвоевременная уборка территории контейнерной площадки:42;9:Повреждение дорожного ограждения:33;14:Подтопление проезжей части:33;
455;Убрать абсолютно весь мусор (пластиковые и стеклянные бутылки, пакеты, упаковку) на газоне перед домом 255 по улице Пролетарская.;30:Вытоптанный, заезженный газон:83;4:Неисправное уличное освещение:60;15:Открытый (просевший) люк или ливневка на дороге:60;
456;Не убран мусор. Ориентир: Школа 25, ул. Туркестанская 6;12:Ямы, выбоины, выступы на дороге, тротуаре:50;13:Ямы, выбоины, выступы на придомовой территории:50;25:Мусор на придомовой территории:50;
457;В связи с тем, что на нашей улице расположена необустроенная мусорная площадка, мало того что не обустроенная должным образом, так ещё и мусор с неё не вывозится, а разлетается по всей улице, обочины дороги на 3 домовладения превратились в свалку! В которой скоро крысы будут жить! Кроме того, ещё зимой были спилены деревья, якобы мешающие ЛЭП, а пеньки до сих пор никто не убрал! Жители должны убирать результаты деятельности должностных лиц?За мусор мы исправно платим! А по факту утопаем в нём! Убедительно просим убрать мусор с обочин домов по Фрунзе 62, 60, 58,56, 53, 55. Это мусор со свалки и лежит на обочинах! Придомовую территорию мы убираем, А это не наш мусор и муниципальная земля!;84:Содержание помещений МФЦ:12;5:Неисправное освещение во дворах:8;56:Проблемы при организации направления одаренного ребенка в федеральные детские центры "Артек", "Смена", "Орленок":8;
458;Добрый день. Не убран мусор на дороге вдоль станкозавода. Организацией ведётся ремонт крыши, а строительный мусор просто сбрасывается на дорогу. Мусор лежит с 5-6 июня. Убирать, видимо, никто не собирается. Заранее спасибо;29:Грязь, мусор на остановке:41;46:Некачественное содержание катков:37;82:Невежливое обслуживание в МФЦ:37;
459;Грязь у бордюров дороги , давно не убирали вся дорога в грязи , приведите в порядок проезжую часть;3:Стертая дорожная разметка:44;59:Неудовлетворительное санитарное состояние транспортного средства:44;74:Отсутствие повреждение урны на остановке:44;
